Ident;CRUISE;SHIP;YEAR;MONTH;DAY;HOUR;LONGITUDE;LATITUDE;Period;DEPTH;Domain;DC;SST;SALINITY;OXYGEN;WM;WMCode;Clorofila;fosfatos;nitratos;nitritos;silicatos;TOTAL.BIOMASS;ANCHOVIES;SARDINE;JACK.MACKEREL;MACKEREL;SAMASA;FALSO.VOLADOR;BAGRE;CAMOTILLO;VINCIGUERRIA;POTA;MUNIDA;TotalBsinMunida
1976;c0001-02;BIC-SNP;2000;2;18;312;-80.48816666666667;-7.055833333333333;N;137.005736036;AP;31.8277084415;22.9;34.94;7.76;AM;5;5.089;1.59058611772;.195186286842;1.29103532842;9.09978488025;3727;3357;0;0;0;0;0;222;0;0;0;148;3579
1986;c0001-02;BIC-SNP;2000;2;18;302;-80.47616666666667;-7.0485;N;133.766933409;AP;31.1019623605;22.9;34.94;7.73;AM;5;5.246;1.61006204302;.198357956238;1.32098254679;9.22451398802;3488;2988;0;0;0;0;0;300;0;0;0;200;3288
1959;c0001-02;BIC-SNP;2000;2;18;341;-80.50633333333333;-7.064333333333333;N;141.75961549;AP;32.8009740687;22.9;34.94;7.73;AM;5;4.87;1.56577373389;.191483668035;1.25529369924;8.94306165394;3633;3270;0;0;0;0;0;218;0;0;0;145;3488
1998;c0001-02;BIC-SNP;2000;2;18;253;-80.46333333333334;-7.041;N;130.420645791;AP;30.3401299066;22.9;34.94;7.7;AM;5;5.413;1.63049217726;.201317941122;1.35142912329;9.36162257465;2842;2272;0;0;0;0;0;342;0;0;0;228;2614
2014;c0001-02;BIC-SNP;2000;2;18;247;-80.44116666666666;-7.033166666666666;N;125.127961945;AP;29.2831482757;22.8;34.94;7.65;AM;5;5.542;1.65733843698;.203269404281;1.3840313527;9.56286827689;4050;3240;0;0;0;0;0;486;0;0;0;324;3726
2024;c0001-02;BIC-SNP;2000;2;18;240;-80.43233333333333;-7.024;N;122.4881747;AP;28.5819860029;22.8;34.94;7.63;AM;5;5.636;1.67866499343;.206900220144;1.41964730976;9.70935594853;2504;1984;0;0;0;0;0;312;0;0;0;208;2296
1946;c0001-02;BIC-SNP;2000;2;18;412;-80.52;-7.07;N;145.357845397;AP;33.5204385107;22.9;34.94;7.59;AM;5;4.712;1.54851115955;.188877556108;1.2309483065;8.8376822494;920;840;0;0;0;0;0;60;0;0;0;20;900
2039;c0001-02;BIC-SNP;2000;2;18;234;-80.418;-7.016166666666667;N;118.611534333;AP;27.8266064221;22.8;34.94;7.59;AM;5;5.742;1.70123605319;.209011853183;1.45058456016;9.88247393932;2512;1992;0;0;0;0;0;312;0;0;0;208;2304
2050;c0001-02;BIC-SNP;2000;2;18;228;-80.40366666666667;-7.008166666666667;N;114.410941087;AP;27.0932996051;22.8;34.94;7.56;AM;5;5.853;1.72431949177;.210911652955;1.48182508068;10.065454507;1460;1160;0;0;0;0;0;180;0;0;0;120;1340
2063;c0001-02;BIC-SNP;2000;2;18;221;-80.38816666666666;-6.999666666666666;N;109.85763596;AP;26.3211569465;22.8;34.93;7.52;AM;5;5.976;1.74926168484;.212569422902;1.51468379645;10.270669196;3325;2615;0;0;0;0;0;426;0;0;0;284;3041
1949;c0001-02;BIC-Olaya;2000;2;18;1458;-80.51833333333333;-7.16;D;152.561136801;AP;37.9953966485;23;34.95;7.51;AM;5;4.144;1.40010926027;.135339302058;.881433409419;8.18363922661;303;303;0;0;0;0;0;0;0;0;0;0;303
1941;c0001-02;BIC-Olaya;2000;2;18;1504;-80.52833333333334;-7.146666666666667;D;153.734106882;AP;37.7178553313;23;34.95;7.51;AM;5;4.146;1.41727516675;.14212732271;.930404882287;8.26395268744;1136;852;0;0;0;0;0;0;0;0;0;284;852
1956;c0001-02;BIC-Olaya;2000;2;18;1453;-80.51;-7.173333333333334;D;151.780557756;AP;38.3149457452;23;34.95;7.49;AM;5;4.126;1.38190157926;.13517485388;.832300779504;8.09250012409;1486;1486;0;0;0;0;0;0;0;0;0;0;1486
1931;c0001-02;BIC-Olaya;2000;2;18;1510;-80.53833333333333;-7.131666666666667;D;154.77750695;AP;37.3347623452;23;34.95;7.48;AM;5;4.157;1.43691654087;.151098303732;.986278486843;8.34588208087;48;36;0;0;0;0;0;0;0;0;0;12;36
2075;c0001-02;BIC-SNP;2000;2;18;214;-80.3745;-6.990833333333334;N;105.668768976;AP;25.4607528743;22.7;34.93;7.47;AM;5;6.099;1.77387314583;.214311043741;1.5482779329;10.4760253185;2550;2000;0;0;0;0;0;330;0;0;0;220;2330
1966;c0001-02;BIC-Olaya;2000;2;18;1447;-80.49833333333333;-7.186666666666667;D;150.361910153;AP;38.4623595203;23;34.95;7.46;AM;5;4.134;1.36500327318;.135163644802;.78462160047;7.99465376561;940;940;0;0;0;0;0;0;0;0;0;0;940
1933;c0001-02;BIC-SNP;2000;2;18;437;-80.53416666666666;-7.079666666666666;N;149.616427803;AP;34.4753693285;23;34.94;7.45;AM;5;4.524;1.52453951185;.183603705056;1.19065485753;8.7084946095;643;631;0;0;0;0;0;12;0;0;0;0;643
1926;c0001-02;BIC-SNP;2000;2;18;443;-80.545;-7.091166666666667;N;153.101975741;AP;35.4350977606;23;34.94;7.36;AM;5;4.356;1.49967625461;.176717673667;1.14345978277;8.5899445084;315;315;0;0;0;0;0;0;0;0;0;0;315
1920;c0001-02;BIC-Olaya;2000;2;18;1516;-80.54833333333333;-7.118333333333333;D;155.950477032;AP;36.9974011369;23;34.94;7.36;AM;5;4.156;1.45355020264;.159385165744;1.03602761625;8.40669904593;812;610;0;0;0;0;0;0;0;0;0;202;610
1975;c0001-02;BIC-Olaya;2000;2;18;1441;-80.48833333333333;-7.201666666666666;D;149.507735303;AP;38.6531448468;22.9;34.95;7.34;AM;5;4.116;1.34424902376;.13492465128;.730374005049;7.8719589719;64;64;0;0;0;0;0;0;0;0;0;0;64
2088;c0001-02;BIC-SNP;2000;2;18;208;-80.3605;-6.9825;N;101.586912762;AP;24.6237480121;22.7;34.93;7.34;AM;5;6.223;1.79803061511;.215487804812;1.57971634507;10.6860030034;1740;1380;0;0;0;0;0;216;0;0;0;144;1596
1915;c0001-02;BIC-Olaya;2000;2;18;1521;-80.55666666666667;-7.105;D;156.755192082;AP;36.5626571136;23;34.94;7.26;AM;5;4.168;1.47081973515;.168000488372;1.08653096401;8.46347311295;2196;1647;0;0;0;0;0;0;0;0;0;549;1647
1983;c0001-02;BIC-Olaya;2000;2;18;1436;-80.48166666666667;-7.211666666666667;D;148.979637236;AP;38.7601501145;22.9;34.95;7.26;AM;5;4.103;1.3302515712;.134739471748;.694444594932;7.78425441374;479;479;0;0;0;0;0;0;0;0;0;0;479
