YYYYMMDD	dN	dE	dU	Sn	Se	Su
20170524	-0.03859	0.09900	0.00277	0.00338	0.00378	0.01500
20170525	-0.04039	0.10322	0.00943	0.00333	0.00378	0.01502
20170526	-0.03519	0.10022	-0.00653	0.00326	0.00362	0.01390
20170527	-0.03631	0.10080	0.01065	0.00301	0.00341	0.01318
20170528	-0.03771	0.10112	0.00592	0.00307	0.00345	0.01344
20170529	-0.03738	0.10155	0.00310	0.00292	0.00328	0.01287
20170530	-0.03807	0.10032	-0.00486	0.00291	0.00325	0.01252
20170531	-0.03814	0.10030	0.00699	0.00303	0.00338	0.01348
20170601	-0.03767	0.10077	0.00773	0.00295	0.00326	0.01304
20170602	-0.03660	0.10118	0.00303	0.00319	0.00352	0.01507
20170603	-0.03897	0.10238	0.00370	0.00311	0.00340	0.01366
20170604	-0.03862	0.09949	0.00042	0.00313	0.00346	0.01386
20170605	-0.03813	0.10216	-0.00268	0.00315	0.00329	0.01357
20170606	-0.03899	0.10107	0.00272	0.00296	0.00324	0.01295
20170607	-0.03845	0.09997	0.01158	0.00306	0.00339	0.01392
20170608	-0.03649	0.10055	0.00088	0.00304	0.00339	0.01388
20170609	-0.03681	0.10145	0.00196	0.00295	0.00320	0.01313
20170610	-0.03715	0.10118	-0.00333	0.00290	0.00317	0.01309
20170611	-0.03771	0.10028	0.00102	0.00296	0.00323	0.01343
20170612	-0.03657	0.09972	0.00194	0.00284	0.00314	0.01298
20170613	-0.03644	0.10029	-0.00091	0.00285	0.00312	0.01270
20170614	-0.03783	0.09985	0.00306	0.00275	0.00324	0.01266
20170615	-0.03726	0.10050	0.00399	0.00273	0.00327	0.01259
20170616	-0.03648	0.10007	0.00535	0.00285	0.00336	0.01283
20170617	-0.03671	0.09986	0.00243	0.00272	0.00331	0.01262
20170618	-0.03694	0.09925	0.00584	0.00277	0.00329	0.01276
20170619	-0.03787	0.09961	-0.00074	0.00270	0.00320	0.01240
20170620	-0.03785	0.10103	-0.00063	0.00286	0.00325	0.01274
20170621	-0.03719	0.10027	0.00410	0.00284	0.00330	0.01302
20170622	-0.03692	0.10080	0.00843	0.00295	0.00324	0.01323
20170623	-0.03770	0.10052	-0.00011	0.00294	0.00326	0.01304
20170624	-0.03687	0.10081	0.00111	0.00293	0.00319	0.01253
20170625	-0.03674	0.10015	0.00733	0.00274	0.00312	0.01214
20170626	-0.03482	0.10082	0.00621	0.00294	0.00327	0.01301
20170627	-0.03695	0.10239	0.00613	0.00296	0.00322	0.01294
20170628	-0.03730	0.10102	-0.00070	0.00299	0.00327	0.01329
20170629	-0.03687	0.10087	0.00532	0.00302	0.00329	0.01303
20170630	-0.03606	0.10127	-0.00151	0.00297	0.00329	0.01357
20170701	-0.03892	0.10114	0.00695	0.00299	0.00326	0.01314
20170702	-0.03408	0.09563	0.00514	0.00326	0.00350	0.01439
20170703	-0.03719	0.09903	0.00992	0.00301	0.00340	0.01355
20170704	-0.03670	0.09823	-0.00529	0.00291	0.00338	0.01325
20170705	-0.03564	0.09813	-0.00596	0.00297	0.00335	0.01339
20170706	-0.03556	0.09850	-0.00302	0.00280	0.00332	0.01336
20170707	-0.03490	0.09938	0.00592	0.00295	0.00324	0.01315
20170708	-0.03698	0.09876	0.00099	0.00280	0.00313	0.01237
20170709	-0.03635	0.09858	0.00678	0.00271	0.00328	0.01284
20170710	-0.03548	0.09859	-0.00152	0.00309	0.00341	0.01352
20170711	-0.03699	0.09982	0.00558	0.00290	0.00322	0.01293
20170712	-0.03454	0.09891	-0.00049	0.00296	0.00331	0.01282
20170713	-0.03446	0.09884	-0.00103	0.00305	0.00352	0.01339
20170714	-0.03540	0.10022	-0.00237	0.00284	0.00331	0.01326
20170715	-0.03568	0.09925	0.00654	0.00279	0.00337	0.01273
