Codigo,Norte,Este,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,ratingcol,claseph,long,lat
1348119SW001,8295969,178312,8.58,89.13,44.23,7.29,3.1,1.998,6.62,0.578,6.744,48.5,NA,Estiaje,Molloco,Agua superficial,Quebrada,blue,Basico,-71.99660209,-15.39302078
1348119SW001,8295972,178323,7.17,99.86,49.45,5.8,2.7,1.8,4.3,0.3,3.6,33,NA,Avenida,Molloco,Agua superficial,Quebrada,green,Aceptable,-71.99649934,-15.39299508
1348119SW002,8288352,177940,8.52,165.8,81.96,14.57,2.84,3.009,12.42,11.45,17.75,57.8,NA,Estiaje,Molloco,Agua superficial,Rio,blue,Basico,-72.00105254,-15.46174355
1348119SW002,8288348,177940,8.48,103.1,51.03,10.2,1.7,1.9,5.5,3.1,13,31,NA,Avenida,Molloco,Agua superficial,Quebrada,green,Aceptable,-72.00105306,-15.46177966
1348119SW003,8288410,177882,8.18,357.2,175.5,14.15,2.69,2.839,11.37,11.33,17.05,57,NA,Estiaje,Molloco,Agua superficial,Quebrada,green,Aceptable,-72.00158492,-15.46121258
1348119SW003,8288413,177878,7.35,490.6,249.9,70.7,0.9,6.9,5.5,0.3,179.1,27,NA,Avenida,Molloco,Agua superficial,Quebrada,green,Aceptable,-72.00162177,-15.46118499
1348119SW004,8288500,177949,8.21,170.2,83.98,53.7,2.98,5,5.95,0.654,95.53,87.4,NA,Estiaje,Molloco,Agua superficial,Rio,green,Aceptable,-72.0009495,-15.46040848
1348119SW004,8288513,177936,8.59,136.8,67.52,9.6,1.7,1.9,6.1,3.2,10.5,31,NA,Avenida,Molloco,Agua superficial,Rio,blue,Basico,-72.00106883,-15.46028947
1348119SW005,8291515,178497,9.04,164.3,80.77,14.34,2.84,2.833,11.65,11.2,16.18,54.4,NA,Estiaje,Molloco,Agua superficial,Rio,blue,Basico,-71.99545694,-15.43325681
1348119SW005,8291946,178567,8.55,111,55.07,9.7,1.8,1.9,6.4,3.3,10,31,NA,Avenida,Molloco,Agua superficial,Rio,blue,Basico,-71.99474954,-15.42937434
1348119SW006,8291954,178548,8.88,82.03,40.69,3.1,2.3,1,3.2,0.4,2.7,18,NA,Avenida,Molloco,Agua superficial,Quebrada,blue,Basico,-71.99492535,-15.42929973
1348119SW007,8291682,178502,9.05,148.6,73.33,11.39,3,2.33,12,1033,506.7,43.6,NA,Estiaje,Molloco,Agua superficial,Rio,blue,Basico,-71.99538875,-15.43174969
1348119SW007,8295800,179221,7.99,134.8,65.72,8.3,1.7,1.7,5.8,3.1,8.9,27,NA,Avenida,Molloco,Agua superficial,Rio,green,Aceptable,-71.9881646,-15.39466048
1348119SW008,8295815,179231,8.61,96.99,48.03,5.61,2.73,1.397,4.4,0.451,2.097,36,NA,Estiaje,Molloco,Agua superficial,Rio,blue,Basico,-71.98806961,-15.39452631
1348119SW008,8294956,180508,8.01,171.2,84.42,5.8,1.7,1.3,3.8,0.3,3.8,25,NA,Avenida,Molloco,Agua superficial,Rio,green,Aceptable,-71.97629583,-15.40244136
1348119SW009,8294968,180508,9.23,177.6,87.5,13.97,3.05,2.694,11.86,0.536,1.943,58.4,NA,Estiaje,Molloco,Agua superficial,Rio,blue,Basico,-71.97629429,-15.40233302
1348119SW009,8293589,178822,8.73,139.7,78.61,10.1,1.8,1.9,6.1,3.6,10.5,32,NA,Avenida,Molloco,Agua superficial,Rio,blue,Basico,-71.99216349,-15.41457256
