Codigo,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,Codigo2,ratingcol,claseph
1348119SW001,8.58,89.13,44.23,7.29,3.1,1.998,6.62,0.578,6.744,48.5,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW001,blue,Basico
1348119SW002,8.52,165.8,81.96,14.57,2.84,3.009,12.42,11.45,17.75,57.8,NA,Estiaje,Molloco,Agua superficial,Rio,1348119SW002,blue,Basico
1348119SW003,8.18,357.2,175.5,14.15,2.69,2.839,11.37,11.33,17.05,57,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW003,green,Aceptable
1348119SW004,8.21,170.2,83.98,53.7,2.98,5,5.95,0.654,95.53,87.4,NA,Estiaje,Molloco,Agua superficial,Rio,1348119SW004,green,Aceptable
1348119SW005,9.04,164.3,80.77,14.34,2.84,2.833,11.65,11.2,16.18,54.4,NA,Estiaje,Molloco,Agua superficial,Rio,1348119SW005,blue,Basico
1348119SW007,9.05,148.6,73.33,11.39,3,2.33,12,1033,506.7,43.6,NA,Estiaje,Molloco,Agua superficial,Rio,1348119SW007,blue,Basico
1348119SW008,8.61,96.99,48.03,5.61,2.73,1.397,4.4,0.451,2.097,36,NA,Estiaje,Molloco,Agua superficial,Rio,1348119SW008,blue,Basico
1348119SW009,9.23,177.6,87.5,13.97,3.05,2.694,11.86,0.536,1.943,58.4,NA,Estiaje,Molloco,Agua superficial,Rio,1348119SW009,blue,Basico
1348119SW011,8.5,235.8,116.1,31.62,1.33,3.978,4.67,0.338,60.91,56.6,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW011,green,Aceptable
1348119SW012,4.45,724.3,354.7,96.7,2.44,12.97,13.05,1.575,358.8,5.8,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW012,red,Acido
1348119SW013,8.51,83.47,41.35,3.32,2.43,0.999,3.27,0.288,1.688,23.1,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW013,blue,Basico
1348119SW014,8.18,213.2,104.9,24.29,1.35,3.834,8.44,1224,419,62.2,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW014,green,Aceptable
1348119SW015,8.29,259.1,127.4,33.39,1.62,4.539,6.55,0.752,67.25,62,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW015,green,Aceptable
1348119SW016,8.51,176.4,86.91,18.75,2.4,3.134,7.67,0.237,1.204,83.9,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW016,blue,Basico
1348119SW017,7.3,29.51,14.95,1.91,1.45,0.481,1.76,0.634,4.024,12.8,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW017,green,Aceptable
1348119SW128,8.13,145,71.56,10.08,0.61,1.574,7.19,0.548,9.578,49.9,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW128,green,Aceptable
1348119SW129,7.71,103.2,51.06,5.66,0.91,0.772,5.29,0.402,9.631,23.8,NA,Estiaje,Molloco,Agua superficial,Quebrada,1348119SW129,green,Aceptable
1348119SW130,7.81,214.6,105.8,18.1,2.74,3.174,13.81,12.9,24.94,61.3,NA,Estiaje,Molloco,Agua superficial,Rio,1348119SW130,green,Aceptable
1348119SW133,8.14,206.4,101.5,19.34,2.67,3.224,14.05,12.72,29.74,63.1,NA,Estiaje,Molloco,Agua superficial,Rio,1348119SW133,green,Aceptable
1349119GW121,7.12,66.1,32.89,4.15,3.3,2.768,3.65,0.622,4.255,34.8,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,1349119GW121,green,Aceptable
1349119GW134,8.4,3873,1898,50.61,89.6,4.303,660.1,982.6,340.9,34.8,24.9,Estiaje,Alto Camana,Agua subterranea,Geiser,1349119GW134,green,Aceptable
1349119GW138,7.61,349.3,171.8,28.34,4.32,16.75,16.66,1.837,71.84,120.7,NA,Estiaje,Alto Camana,Agua subterranea,Galeria,1349119GW138,green,Aceptable
1349119GW141,7.53,874.9,429.2,89.98,9.84,33.25,43.68,2.485,274.8,202.4,NA,Estiaje,Alto Camana,Agua subterranea,Termal,1349119GW141,green,Aceptable
1349119GW146,7.19,202.4,99.7,13.74,2.62,7.993,17.56,13.23,7.741,89.9,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,1349119GW146,green,Aceptable
1349119GW149,7.01,240,118.1,16.31,2.38,8.956,17.97,5.057,51.04,71,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,1349119GW149,green,Aceptable
1349119GW150,6.8,541.8,265.9,49.41,2.7,20.69,30.02,12.87,142.8,119.5,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,1349119GW150,green,Aceptable
1349119GW168,7.4,1441,705.5,37.39,16.6,2.671,261.7,99.65,270.5,368.3,NA,Estiaje,Alto Camana,Agua subterranea,Termal,1349119GW168,green,Aceptable
1349119GW169,7.47,5235,2566,80.33,71.12,7.235,935.4,1187,301.3,806.6,NA,Estiaje,Alto Camana,Agua subterranea,Termal,1349119GW169,green,Aceptable
1349119GW180,7.03,1530,751.6,41.51,27.12,9.95,250.7,255.2,133.3,302.4,NA,Estiaje,Alto Camana,Agua subterranea,Manantial,1349119GW180,green,Aceptable
1349119GW186,6.77,1388,680.6,153.4,2.26,47.49,15.37,1.17,726.2,10,NA,Estiaje,Alto Camana,Agua subterranea,Galeria,1349119GW186,green,Aceptable
1349119GW188,7.3,900,441.5,138.1,2.17,22.92,9.95,1.434,387.3,73.4,NA,Estiaje,Alto Camana,Agua subterranea,Galeria,1349119GW188,green,Aceptable
1349119GW197,6.15,7188,3523,129.3,78.87,12.04,1231,1624,305.5,814.2,NA,Estiaje,Alto Camana,Agua subterranea,Termal,1349119GW197,red,Acido
1349119GW208,6.27,6898,3383,61,36.83,9.84,1436,1306,619.6,1424,NA,Estiaje,Alto Camana,Agua subterranea,Termal,1349119GW208,red,Acido
1349119GW211,6.8,4113,2018,125,55.66,14.8,690,847,246.4,727.1,NA,Estiaje,Alto Camana,Agua subterranea,Termal,1349119GW211,green,Aceptable
