"","Proyecto","Temporada","Codigo","Codigo_Corto","Nombre","Nombre_Completo","Fecha","Hora","Norte","Este","Cota","Zona","Lugar","Distrito","Provincia","Vertiente","Cuenca","Subcuenca","Microcuenca","Tipo_Fuente","Clase_Fuente","Uso","PFQ","T.Analisis","Muestreo","Monitoreo","Blanco","Estandar","Duplicado","Asp_Geologico","Desc_Litologica","Morfologia","Pendiente","Caudal","Color","Olor","T_Fuente","T_Ambiente","pH","pH_mV","Eh","ORP_mv","CE_uS_cm","TDS_mg_L","TDS_ppt","Salinidad_PSU","Resistividad_Kohm-cm","OD_mgL","OD_Sat.","Precipitados","Algas_plantas","Basurales","Animales","Letrinas_Sítios","Poblacion","Pasivos_Ambientales","Act_Antropica","Alt.Geo.Nat","Ev.Meteo","Viento","Foto","Observaciones","Realizado_por","Alcalinidad_mgCaCO3_L","CO3_menos_2_mg_L","HCO3_menos","F","Cl","NO3_menos_1","NO3_menos_1_como_N","SO4_menos_2","NO2_menos_1","NO2_menos_1_como_N","Na_dis","Mg_dis","K_dis","Ca_dis","Sr_dis","Li_dis","Si_dis","SiO2 _dis","Ag_dis","Al_dis","As_dis","B_dis","Ba_dis","Be_dis","Bi_dis","Cd_dis","Ce_dis","Co_dis","Cr_dis","Cu_dis","Fe_dis","Hg_dis","La_dis","Mn_dis","Mo_dis","Ni_dis","Pb_dis","S_dis","Sb_dis","Se_dis","Sn_dis","Th_dis","Ti_dis","Tl_dis","U_dis","V_dis","W_dis","Y_dis","Zn_dis","Na_tot","Mg_tot","K_tot","Ca_tot","Sr_tot","Li_tot","Si_tot","SiO2_tot","Ag_tot","Al_tot","As_tot","B_tot","Ba_tot","Be_tot","Bi_tot","Cd_tot","Ce_tot","Co_tot","Cr_tot","Cu_tot","Fe_tot","Hg_tot","La_tot","Mn_tot","Mo_tot","Ni_tot","Pb_tot","S_tot","Sb_tot","Se_tot","Sn_tot","Th_tot","Ti_tot","Tl_tot","U_tot","V_tot","W_tot","Y_tot","Zn_tot","Ca_meq_l","Mg_meq_l","Na_meq_l","K_meq_l","Total_meq_l...156","HCO3_meq_l","CO3_meq_l","SO4_meq_l","Cl_meq_l","Total_meq_l...161","BI_per","Ca_per","Mg_per","Na_plus_K_per","HCO3_plus_CO3_per","SO4_per","Cl_per","HIDROTIPO","As_com","As_ran","B_com","B_ran","Cu_com","Cu_ran","Fe_com","Fe_ran","Mn_com","Mn_ran","pH_ran","CE_ran","Ti_com","Ti_ran","Zn_com","Zn_ran","Ni_com","Ni_ran"
"1","GA47C","Avenida","13491-19-GW-121","GW-121","Ran Ran","Manantial Ran Ran",2019-04-25,1899-12-31 12:14:00,8289456,221441,4463,"19 S","Ran Ran","Tuti","Caylloma","Pacífico","Camaná","Alto Camaná","Tuti","Subterránea","Manantial","Ninguno","Sí","Químico","Original",NA,NA,NA,NA,"Volcánico/Depósito superficial","En la base encontramos bofedales polisurgentes que en la margen derecha de la carretera se encuentran en sumidero que desfoga en otro lado de la carretera. En los márgenes laterales tenemos tobas andesíticas de  la unidad Nm-am.","Planicie","Muy baja",NA,"Incoloro","Inodoro",18,NA,6.82,7.4,NA,380,67.42,33.69,NA,0.086,14.67,7.84,145.1,"No","No","No","No","No","Rural","No","Ninguno","No","Ninguno","No","524534","Manantial (proveniente de un bofedal polisurgente) en la carretera cerca al poblado de Ran Ran. Se observa como un Sumidero.","I. Becerra y J. Ortiz","23","<1","23","<0.2","0.3",NA,NA,5.3,NA,NA,3.3,2.2,2,2.8,0.0293,"6.9999999999999999E-4",13.9252336448598,29.8,"<0.0003","<0.005","<0.001","<0.05",0.0138,"<0.0002","<0.0002","<0.0002","<0.0002","<0.0002","<0.001","<0.0005","0.01","<0.020","<0.0002","4.0000000000000002E-4","4.0000000000000002E-4","<0.0007","<0.0005",1.8,"<0.0008","<0.002","<0.0005","<0.0002","1.2999999999999999E-3","<0.0001","<0.0001","5.4999999999999997E-3","<0.0005","<0.0005","6.0000000000000001E-3",3.4,2.5,2.1,3.1,0.0314,"8.9999999999999998E-4",16.3084112149533,34.9,"<0.0003","<0.005","<0.001","<0.05",0.0152,"<0.0002","<0.0002","<0.0002","<0.0002","<0.0002","<0.001","5.9999999999999995E-4","0.02","<0.020","<0.0002","1E-3","4.0000000000000002E-4","<0.0007","<0.0005",1.9,"<0.0008","<0.002","<0.0005","<0.0002","1.5E-3","<0.0001","<0.0001","5.5999999999999999E-3","<0.0005","<0.0005","7.0000000000000001E-3",0.14,0.181069958847737,0.143478260869565,0.051150895140665,0.515699114857967,0.377049180327869,0,0.110416666666667,0.00846262341325811,0.495928470407794,1.95434018784486,27.1476130104584,35.1115512186998,37.7408357708418,76.0289442583983,22.264635578569,1.70642016303267,"Bicarbonatada magnésica",5.530083144606e-05,"Bajo",0.000382675820464074,"Bajo",0.000121539165663063,"Bajo",0.01,"Bajo",4e-04,"Bajo","Bajo","Bajo",0.0013,"Moderado",0.006,"Moderado",NA,NA
"2","GA47C","Avenida","13491-19-GW-134","GW-134","Belén","Geiser Belén",2019-04-27,1899-12-31 09:42:00,8273538,178306,2160,"19 S","Belén","Tapay","Caylloma","Pacífico","Camaná","Alto Camaná","Cabanaconde","Subterránea","Geiser","Ninguno","Sí","Químico","Original",NA,NA,NA,NA,"Volcánico/Depósito superficial","En la base del río observamos cantos y bloques de hasta 1 metro. En la margen izquierda tenemos afloramientos a la Fm. Tuti y costra de Travertino. En la margen derecha tobas riodacíticas moderadamente alteradas de la Fm. Tuti","Valle encañonado","Baja",15,"Incoloro","Inodoro",85.5,NA,7.6,44.3,NA,98.2,4111,2010,NA,2.173,0.2438,NA,NA,"No","No","No","No","no","Rural","no","Ninguno","No","Ninguno","No","611634","Los niveles de las fumarolas productos de los Geiseres son altos y la sensación térmica que generan también. 
El olor del ""humo"" es bastante sulfuroso como ""huevo podrido""","I. Becerra y J. Ortiz","54.5","1","53","5.2","850.9",NA,NA,341.5,NA,NA,549.5,1.4,75.1,39.1,1.0192,"5.0960000000000001",89.6261682242991,191.8,"<0.0003","1.6E-2","1.742","16.12",0.1355,"<0.0002","<0.0002","<0.0002","<0.0002","2.9999999999999997E-4","<0.001","<0.0005","<0.01","<0.020","<0.0002","8.9999999999999998E-4","2.3E-3","<0.0007","<0.0005",115.1,"9.01E-2","<0.002","<0.0005","<0.0002","1.3599999999999999E-2","6.1999999999999998E-3","<0.0001","6.7000000000000002E-3","7.9899999999999999E-2","<0.0005","1.0999999999999999E-2",614.9,1.8,80.5,41.7,1.108,"5.7164000000000001",101.542056074766,217.3,"<0.0003","5.5E-2","1.873","18.05",0.1485,"<0.0002","<0.0002","<0.0002","<0.0002","6.9999999999999999E-4","<0.001","5.9999999999999995E-4","0.03","<0.020","<0.0002","5.1000000000000004E-3","2.7000000000000001E-3","<0.0007","8.0000000000000004E-4",123.3,"0.1106","<0.002","<0.0005","<0.0002","1.52E-2","7.1999999999999998E-3","<0.0001","6.8999999999999999E-3","0.08","<0.0005","1.2E-2",1.955,0.11522633744856,23.8913043478261,1.92071611253197,27.8822467978066,0.868852459016393,0.0333333333333333,7.11458333333333,24.0028208744711,32.0195900001541,-6.90687201513056,7.01163006760916,0.413260589378414,92.5751093430124,2.81760569809102,22.219470434503,74.962923867406,"Clorurada sódica",1.742,"Muy Alto",16.12,"Muy Alto",0.000169462451049634,"Bajo",0.0012199446432605,"Bajo",9e-04,"Bajo","Moderado","Muy Alto",0.0136,"Muy Alto",0.011,"Alto",NA,NA
"3","GA47C","Avenida","13491-19-GW-138","GW-138","Joyas","Galería Filtrante Joyas",2019-04-27,1899-12-31 12:44:00,8269490,182249,3408,"19 S","Joyas","Cabanaconde","Caylloma","Pacífico","Camaná","Alto Camaná","Cabanaconde","Subterránea","Galería Filtrante","Consumo humano","Sí","Químico","Original",NA,NA,NA,NA,"Volcánico","En la naciente de la galería filtrante tenemos fracturas en dirección NE-SO, con una apertura de 1.5 metros. Las rocas que albergan este manantial son tobas piroclásticas del Complejo Volcánico Hualca Hualca.","Escarpa","Media",50,"Incoloro","Inodoro",19.3,NA,7.04,5.2,NA,128.4,336.7,165.5,NA,0.211,2.97,5.83,101.8,"No","No","No","Sí","No","Rural","no","Ganadería","No","Ninguno","No","646660","3 tuberías de 6 pulgadas cada una que nos da un caudal aproximado de 50 l/s. Se captan varias tuberías desde la boca de  la galería (captación para
 Cabanaconde), aguas abajo tenemos una represa de regadío de 100 metros aproximadamente.","I. Becerra y J. Ortiz","101.7","<1","101","0.2","1.4",NA,NA,65.9,NA,NA,14.7,15.4,3.6,23.7,0.1783,"2.9700000000000001E-2",33.0841121495327,70.8,"<0.0003","<0.005","7.0000000000000001E-3","<0.05",0.0228,"<0.0002","<0.0002","<0.0002","<0.0002","<0.0002","<0.001","5.9999999999999995E-4","0.03","<0.020","<0.0002","<0.0002","1.6999999999999999E-3","<0.0007","<0.0005",22.1,"<0.0008","<0.002","<0.0005","<0.0002","2.8E-3","<0.0001","5.9999999999999995E-4","2.6100000000000002E-2","<0.0005","<0.0005","7.0000000000000001E-3",16.7,17.9,4,26.9,0.2023,"3.04E-2",39.5794392523364,84.7,"<0.0003","<0.005","8.0000000000000002E-3","0.06",0.0269,"<0.0002","<0.0002","<0.0002","<0.0002","2.0000000000000001E-4","<0.001","6.9999999999999999E-4","0.04","<0.020","<0.0002","2.9999999999999997E-4","1.9E-3","<0.0007","<0.0005",24.9,"<0.0008","<0.002","<0.0005","<0.0002","3.0999999999999999E-3","<0.0001","6.9999999999999999E-4","2.8199999999999999E-2","<0.0005","<0.0005","0.01",1.185,1.26748971193416,0.639130434782609,0.0920716112531969,3.18369175796996,1.65573770491803,0,1.37291666666667,0.0394922425952045,3.0681466141799,1.84817867820733,37.220940030815,39.8119481498534,22.9671118193316,53.9654036500665,44.7474270076118,1.28716934232168,"Bicarbonatada magnésica",0.007,"Alto",0.000752407230040816,"Bajo",6e-04,"Bajo",0.03,"Moderado",4.34772074675386e-05,"Bajo","Bajo","Moderado",0.0028,"Alto",0.007,"Moderado",NA,NA
"4","GA47C","Avenida","13491-19-GW-141","GW-141","Lari","Termal Lari",2019-04-28,1899-12-31 11:38:00,8269663,203172,3239,"19 S","Lari","Lari","Caylloma","Pacífico","Camaná","Alto Camaná","Maca","Subterránea","Manantial","Ninguno","Sí","Químico","Original",NA,NA,NA,NA,"Volcánico/Depósito superficial","En la base del rio Colca (a 30 metros aproximadamente) tenemos cantos y bloques polimícticos de hasta 2 m de diámetro. En la margen derecha (a 30 metros aproximadamente) tenemos fuente termal que está emplazado en una secuencia de conglomerados correspondientes a la Fm. Colca","Valle Fluvial","Muy Baja",3,"Incoloro","Inodoro",32.1,NA,7.47,3.9,NA,23.3,823.4,404,NA,0.454,1.214,1.14,23.5,"No","No","Sí","No","no","Rural","no","Ninguno","No","Ninguno","No","669677","Tenemos presencia antrópica y evidencia de basurales a los alrededores del punto de muestreo.","I. Becerra y J. Ortiz","166.8","2","165","0.5","2.4",NA,NA,262.7,NA,NA,38.7,28.2,7.8,71.7,0.7257,"2.1999999999999999E-2",32.9439252336449,70.5,"<0.0003","1.2E-2","7.1999999999999995E-2","0.14000000000000001",0.0341,"<0.0002","<0.0002","6.4999999999999997E-3","<0.0002","<0.0002","1E-3","1.1999999999999999E-3","0.19","<0.020","<0.0002","0.27189999999999998","1.2800000000000001E-2","<0.0007","5.9999999999999995E-4",88.2,"<0.0008","<0.002","<0.0005","<0.0002","<0.0006","<0.0001","<0.0001","<0.0005","<0.0005","<0.0005","1.2999999999999999E-2",44.3,34.8,8.5,86.1,0.733,"2.2599999999999999E-2",41.3551401869159,88.5,"<0.0003","6.6000000000000003E-2","7.5999999999999998E-2","0.14000000000000001",0.0391,"<0.0002","<0.0002","<0.0002","<0.0002","5.3E-3","6.0000000000000001E-3","6.1999999999999998E-3","0.23","<0.020","<0.0002","0.27579999999999999","1.67E-2","5.0000000000000001E-3","5.8999999999999999E-3",103.9,"5.4999999999999997E-3","<0.002","<0.0005","<0.0002","6.9999999999999999E-4","2.3800000000000002E-2","<0.0001","5.1999999999999998E-3","<0.0005","<0.0005","1.6E-2",3.585,2.32098765432099,1.68260869565217,0.199488491048593,7.78808484102176,2.70491803278689,0.0666666666666667,5.47291666666667,0.0677009873060649,8.31220235342628,-3.25533020668887,46.0318560105679,29.8017767101839,24.1663672792482,33.3435662608852,65.8419566074536,0.814477131661245,"Sulfatada cálcica",0.072,"Muy Alto",0.14,"Alto",0.0012,"Moderado",0.19,"Muy Alto",0.2719,"Muy Alto","Moderado","Muy Alto",0.000216551030594635,"Bajo",0.013,"Alto",NA,NA
"5","GA47C","Avenida","13491-19-GW-146","GW-146","Japo","Manantial Japo",2019-04-28,1899-12-31 15:13:00,8269242,201755,3284,"19 S","Maca","Maca","Caylloma","Pacífico","Camaná","Alto Camaná","Maca","Subterránea","Manantial","Agrícola","Sí","Químico","Original",NA,NA,NA,NA,"Depósito superficial","El entorno geológico de este punto se limita a depósitos cuaternarios (dispuestos en terrazas o sistemas de andenes). Al suroeste del punto (a más de 50 metros aproximadamente) tenemos conglomerados de la Fm. Colca.","Valle Fluvial","Muy Baja",5,"Incoloro","Inodoro",19.4,NA,7.18,13.3,NA,179.8,210.2,103.5,NA,0.151,4.758,4,65.1,"No","No","No","No","no","Rural","no","Ninguno","No","Ninguno","No","706715","Al costado de este manantial encontramos una zona pantanosa circular de unos 80 metros de diámetro aproximadamente.
En un trabajo anterior este punto se encuentra inventariado como una fuente termal.","I. Becerra y J. Ortiz","73.8","<1","73","<0.2","16",NA,NA,9.2,NA,NA,15.6,7.2,2.6,10.7,0.0889,"1.04E-2",26.9626168224299,57.7,"<0.0003","<0.005","8.9999999999999993E-3","0.08",0.0305,"<0.0002","<0.0002","<0.0002","<0.0002","<0.0002","<0.001","<0.0005","0.03","<0.020","<0.0002","6.7999999999999996E-3","1.5E-3","<0.0007","<0.0005",3.2,"<0.0008","<0.002","<0.0005","<0.0002","2.8E-3","<0.0001","2.9999999999999997E-4","1.61E-2","<0.0005","<0.0005","7.0000000000000001E-3",17.6,8.6,3,12.6,0.0933,"1.11E-2",33.2242990654206,71.1,"<0.0003","<0.005","0.01","0.09",0.0387,"<0.0002","<0.0002","<0.0002","<0.0002","8.0000000000000004E-4","<0.001","6.9999999999999999E-4","0.06","<0.020","<0.0002","8.9999999999999993E-3","1.6999999999999999E-3","<0.0007","5.0000000000000001E-4",3.8,"<0.0008","<0.002","<0.0005","<0.0002","2.8E-3","<0.0001","2.9999999999999997E-4","1.89E-2","<0.0005","<0.0005","8.0000000000000002E-3",0.535,0.592592592592593,0.678260869565217,0.0664961636828645,1.87234962584067,1.19672131147541,0,0.191666666666667,0.451339915373766,1.83972789351584,0.878799867587001,28.5737232307662,31.6496761296129,39.7766006396209,65.048821387841,10.4182073524133,24.5329712597457,"Bicarbonatada sódica",0.009,"Alto",0.08,"Alto",0.000209340459221797,"Bajo",0.03,"Moderado",0.0068,"Moderado","Bajo","Moderado",0.0028,"Alto",0.007,"Moderado",NA,NA
"6","GA47C","Avenida","13491-19-GW-149","GW-149","Markarana","Manantial Markarana",2019-04-28,1899-12-31 16:12:00,8267764,203432,3359,"19 S","Ccalo","Maca","Caylloma","Pacífico","Camaná","Alto Camaná","Maca","Subterránea","Manantial","Agropecuario","Sí","Químico","Original",NA,NA,NA,NA,"Depósito superficial","El entorno geológico de este manantial, son depósitos cuaternarios de la Fm. Colca dispuestos en un sistema de andenería. Al sur del punto de muestras tenemos depósitos de conglomerados que corresponden a la Fm. Colca.","Valle Fluvial","Muy Baja",50,"Incoloro","Inodoro",16.7,NA,7.06,19.4,NA,156.1,253.1,124.5,NA,0.169,3.951,6.03,93.2,"No","No","No","No","no","Rural","no","Ninguno","No","Ninguno","No","716725","Naciente del Nevado Hualca Hualca a varios kilómetros de distancia.","I. Becerra y J. Ortiz","54.1","<1","54","0.3","4.5999999999999996",NA,NA,45.5,NA,NA,16.1,7.7,2,12.9,0.0873,"1.5299999999999999E-2",29.7196261682243,63.6,"<0.0003","<0.005","3.0000000000000001E-3","<0.05",0.0325,"<0.0002","<0.0002","<0.0002","<0.0002","<0.0002","<0.001","<0.0005","0.01","<0.020","<0.0002","5.9999999999999995E-4","1.4E-3","<0.0007","5.9999999999999995E-4",16.1,"<0.0008","<0.002","<0.0005","<0.0002","2.7000000000000001E-3","<0.0001","2.0000000000000001E-4","1.6799999999999999E-2","<0.0005","<0.0005","6.0000000000000001E-3",18.4,9.3,2.2,15.4,0.103,"1.67E-2",36.8691588785047,78.9,"<0.0003","8.9999999999999993E-3","4.0000000000000001E-3","<0.05",0.0378,"<0.0002","<0.0002","<0.0002","<0.0002","2.0000000000000001E-4","<0.001","6.9999999999999999E-4","0.02","<0.020","<0.0002","8.9999999999999998E-4","1.6000000000000001E-3","<0.0007","6.9999999999999999E-4",19.3,"<0.0008","<0.002","<0.0005","<0.0002","3.0999999999999999E-3","<0.0001","2.0000000000000001E-4","1.8800000000000001E-2","<0.0005","<0.0005","7.0000000000000001E-3",0.645,0.633744855967078,0.7,0.051150895140665,2.02989575110774,0.885245901639344,0,0.947916666666667,0.129760225669958,1.96292279397597,1.67733535535286,31.7750307939713,31.2205617269377,37.004407479091,45.0983555927968,48.2910825415924,6.61056186561081,"Sulfatada sódica",0.003,"Moderado",0.00115884149768804,"Bajo",0.000245477750159532,"Bajo",0.01,"Bajo",6e-04,"Bajo","Bajo","Moderado",0.0027,"Alto",0.006,"Moderado",NA,NA
"7","GA47C","Avenida","13491-19-GW-150","GW-150","Chila","Manantial Chila",2019-04-28,1899-12-31 17:31:00,8267862,206175,3361,"19 S","Ancoccollo","Maca","Caylloma","Pacífico","Camaná","Alto Camaná","Maca","Subterránea","Manantial","Agrícola, Consumo humano","Sí","Químico","Original",NA,NA,NA,NA,"Depósito superficial","El entorno geológico en el punto de muestreo, son depósitos cuaternarios. En la parte superior (al sureste) se observa tobas andesíticas piroclásticas que corresponden al Complejo Volcánico del Mismi.","Valle Fluvial","Muy Baja",40,"Incoloro","Inodoro",15.7,NA,7.19,13,NA,184.4,607.3,298.1,NA,0.34,1.647,5.69,86.8,"No","No","No","Sí","No","Rural","no","Ninguno","No","Ninguno","No","727743","Ninguna","I. Becerra y J. Ortiz","98.4","<1","98","0.4","13",NA,NA,146,NA,NA,27.6,18.2,2.4,41.7,0.2127,"2.7199999999999998E-2",31.1682242990654,66.7,"<0.0003","<0.005","6.0000000000000001E-3","0.08",0.0404,"<0.0002","<0.0002","<0.0002","<0.0002","<0.0002","<0.001","1.5E-3","0.04","<0.020","<0.0002","5.9999999999999995E-4","1.4E-3","<0.0007","<0.0005",48.9,"<0.0008","<0.002","<0.0005","<0.0002","2.7000000000000001E-3","<0.0001","1.4E-3","1.6799999999999999E-2","<0.0005","<0.0005","8.9999999999999993E-3",30,21.4,2.6,48.2,0.2441,"2.7799999999999998E-2",37.5700934579439,80.4,"<0.0003","6.0000000000000001E-3","6.0000000000000001E-3","0.09",0.0509,"<0.0002","<0.0002","<0.0002","<0.0002","2.0000000000000001E-4","<0.001","1.8E-3","0.05","<0.020","<0.0002","1.1999999999999999E-3","1.6999999999999999E-3","<0.0007","5.0000000000000001E-4",55.3,"<0.0008","<0.002","<0.0005","<0.0002","3.0000000000000001E-3","<0.0001","1.4E-3","1.8499999999999999E-2","<0.0005","<0.0005","1.4E-2",2.085,1.49794238683128,1.2,0.0613810741687979,4.84432346100007,1.60655737704918,0,3.04166666666667,0.366713681241185,5.01493772495703,-1.73049745552912,43.0400656930858,30.9216013111155,26.0383329957987,32.0354402220009,60.6521323590858,7.3124274189133,"Sulfatada cálcica",0.006,"Alto",0.08,"Alto",0.0015,"Moderado",0.04,"Alto",6e-04,"Bajo","Bajo","Alto",0.0027,"Alto",0.009,"Alto",NA,NA
"8","GA47C","Avenida","13491-19-GW-168","GW-168","Chacapi","Termal Chacapi",2019-04-30,1899-12-31 17:00:00,8267404,213687,3340,"19 S","Chacapi","Coporaque","Caylloma","Pacífico","Camaná","Alto Camaná","Maca","Subterránea","Termal","Balneológico","Sí","Químico","Original",NA,NA,NA,NA,"Volcánico","Lavas","Valle encañonado","Baja",NA,"Incoloro","Inodoro",37,NA,7,10.1,NA,329,1395,682,NA,0.744,0.7213,3.63,81.4,"No","No","NO","no","no","Rural","no","Ninguno","No","Ninguno","No",NA,"Ninguna","J. Moreno y M. Huaripata","301","7","294","1.6","94.6",NA,NA,259.4,NA,NA,210.1,2.4,14.2,36.1,0.7099,"0.996",59.4392523364486,127.2,"<0.0003","1.4E-2","0.05","1.25",0.0408,"<0.0002","<0.0002","<0.0002","<0.0002","1.1999999999999999E-3","8.0000000000000002E-3","1.1000000000000001E-3","<0.01","<0.020","<0.0002","2.9999999999999997E-4","7.0000000000000001E-3","<0.0007","<0.0005",86.6,"1.1000000000000001E-3","<0.002","<0.0005","<0.0002","5.4999999999999997E-3","<0.0001","1.9E-3","4.4999999999999997E-3","2.5999999999999999E-3","<0.0005","5.0000000000000001E-3",259.1,2.8,15.7,37.8,0.7792,"1.0331999999999999",69.2056074766355,148.1,"<0.0003","2.9000000000000001E-2","5.7000000000000002E-2","1.62",0.045,"<0.0002","<0.0002","<0.0002","<0.0002","1.2999999999999999E-3","8.9999999999999993E-3","1.4E-3","<0.01","<0.020","<0.0002","2.3999999999999998E-3","7.4000000000000003E-3","<0.0007","<0.0005",97.1,"1.1999999999999999E-3","<0.002","<0.0005","<0.0002","5.5999999999999999E-3","2.9999999999999997E-4","1.9E-3","4.4999999999999997E-3","3.3999999999999998E-3","<0.0005","5.0000000000000001E-3",1.805,0.197530864197531,9.13478260869565,0.363171355498721,11.5004848283919,4.81967213114754,0.233333333333333,5.40416666666667,2.66854724964739,13.1257193807949,-6.59961453497868,15.6949904889565,1.71758727692832,82.5874222341151,38.4969792350905,41.1723465197179,20.3306742451915,"Sulfatada sódica",0.05,"Muy Alto",1.25,"Muy Alto",0.0011,"Bajo",0.00179867390831218,"Bajo",3e-04,"Bajo","Bajo","Muy Alto",0.0055,"Muy Alto",0.005,"Moderado",NA,NA
"9","GA47C","Avenida","13491-19-GW-169","GW-169","Puye","Baños termales Puye",2019-04-30,1899-12-31 17:45:00,8267657,213910,3330,"19 S","Puye","Coporaque","Caylloma","Pacífico","Camaná","Alto Camaná","Maca","Subterránea","Termal","Balneológico","Sí","Químico","Original",NA,NA,NA,NA,"Volcánico/Depósito superficial","Lavas","Valle Fluvial","Fuerte",NA,"Incoloro","Inodoro",74.8,NA,5.88,60.9,NA,151.5,5092,2492,NA,2.721,0.1967,NA,NA,"No","No","No","No","Sí","Rural","No","Ninguno","No","Ninguno","No",NA,"No se tomó el parámetro oxígeno disuelto ya que la temperatura de la muestra supera los 50°C","J. Moreno y M. Huaripata","637.1","5","632","1.3","1018.4",NA,NA,225.2,NA,NA,718.4,6.4,61.9,69.4,2.6016,"4.9306999999999999",36.6822429906542,78.5,"<0.0003","1.7000000000000001E-2","1.7000000000000001E-2","12.95",0.1047,"<0.0002","<0.0002","<0.0002","<0.0002","1.2999999999999999E-3","8.0000000000000002E-3","6.9999999999999999E-4","0.06","<0.020","<0.0002","0.2092","5.9999999999999995E-4","<0.0007","<0.0005",99.5,"3.0000000000000001E-3","<0.002","<0.0005","<0.0002","2.4899999999999999E-2","2.9999999999999997E-4","<0.0001","5.4999999999999997E-3","9.4500000000000001E-2","<0.0005","8.9999999999999993E-3",915.4,7.7,71.7,77.4,3.023,"5.1642999999999999",45.1401869158878,96.6,"<0.0003","2.9000000000000001E-2","1.9E-2","15.39",0.1227,"<0.0002","<0.0002","<0.0002","<0.0002","9.4999999999999998E-3","8.0000000000000002E-3","1.4E-3","0.22","<0.020","<0.0002","0.23710000000000001","5.9999999999999995E-4","<0.0007","<0.0005",118.2,"3.5999999999999999E-3","<0.002","<0.0005","<0.0002","2.9700000000000001E-2","1E-3","<0.0001","5.4999999999999997E-3","9.6100000000000005E-2","<0.0005","0.01",3.47,0.526748971193416,31.2347826086956,1.58312020460358,36.8146517844926,10.3606557377049,0.166666666666667,4.69166666666667,28.7277856135402,43.9467746845784,-8.83110070228534,9.42559506012131,1.43081340080825,89.1435915390704,23.9547099415825,10.6757929343858,65.3694971240317,"Clorurada sódica",0.017,"Alto",12.95,"Muy Alto",7e-04,"Bajo",0.06,"Alto",0.2092,"Muy Alto","Bajo","Muy Alto",0.0249,"Muy Alto",0.009,"Alto",NA,NA
"10","GA47C","Avenida","13491-19-GW-180","GW-180","Sallihua","Baños termales Sallihua",2019-05-01,1899-12-31 18:25:00,8269094,216123,3373,"19 S","Callota","Yanque","Caylloma","Pacífico","Camaná","Alto Camaná","Maca","Subterránea","Termal","Balneológico","Sí","Químico","Original",NA,NA,NA,NA,"Volcánico/Depósito superficial","El ojo de la fuente se encuentra lavas volcánicas, captado para uso balneológico. En la ase del río depósitos aluviales.","Ladera con flujo piroclástico","Fuerte",NA,"Incoloro","Inodoro",42.9,NA,6.02,39.9,NA,278.9,1640,805,NA,0.873,0.6014,1.91,48.4,"No","No","No","No","no","Rural","no","Ninguno","No","Ninguno","No",NA,"Ninguna","J. Moreno y M. Huaripata","289.89999999999998","4","286","0.6","257.10000000000002",NA,NA,128.4,NA,NA,226.5,8.6,26.6,35.3,0.9657,"1.0512999999999999",57.8504672897196,123.8,"<0.0003","2.4E-2","4.2000000000000003E-2","3.53",0.029,"<0.0002","<0.0002","<0.0002","<0.0002","2.5000000000000001E-3","8.9999999999999993E-3","2.0999999999999999E-3","<0.01","<0.020","<0.0002","<0.0002","1.9E-3","<0.0007","6.9999999999999999E-4",43.2,"0.01","<0.002","<0.0005","<0.0002","9.1999999999999998E-3","5.0000000000000001E-4","1E-3","1.7000000000000001E-2","7.3000000000000001E-3","<0.0005","1.9E-2",286.7,10,30.5,38.5,1.1421,"1.1415999999999999",69.5794392523364,148.9,"<0.0003","0.224","4.3999999999999997E-2","4.68",0.0348,"<0.0002","<0.0002","2.9999999999999997E-4","<0.0002","3.5000000000000001E-3","8.9999999999999993E-3","3.5000000000000001E-3","<0.01","<0.020","<0.0002","2.9999999999999997E-4","2.2000000000000001E-3","<0.0007","1.1999999999999999E-3",49.8,"1.04E-2","<0.002","<0.0005","<0.0002","1.0200000000000001E-2","5.0000000000000001E-4","1.1999999999999999E-3","1.9300000000000001E-2","7.3000000000000001E-3","<0.0005","0.06",1.765,0.707818930041152,9.84782608695652,0.680306905370844,13.0009519223685,4.68852459016393,0.133333333333333,2.675,7.2524682651622,14.7493261886595,-6.3003846638789,13.5759289822714,5.44436233798641,80.9797086797422,32.6920556357667,18.1364217306196,49.1715226336137,"Clorurada sódica",0.042,"Muy Alto",3.53,"Muy Alto",0.0021,"Alto",0.00230399837296802,"Bajo",8.37554171965921e-05,"Bajo","Bajo","Muy Alto",0.0092,"Muy Alto",0.019,"Alto",NA,NA
